,sensor,agg,axis,feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking,fi_walking_up,fi_walking_down
174,tBodyGyroJerk,min(),Z,tBodyGyroJerk-min()-Z,0.0002355604550698723,0.0,0.00011625470311589157,0.0003956929746649081,1.2605042016806716e-05,7.124608365364772e-05,0.0005058197500608239,0.0005058197500608239
175,tBodyGyroJerk,sma(),,tBodyGyroJerk-sma(),0.0008805988587461876,0.00987292851005662,0.00032465728721468715,0.002198348510836205,0.0,0.00955851079575484,0.0010629747331318176,0.0010629747331318176
176,tBodyGyroJerk,energy(),X,tBodyGyroJerk-energy()-X,0.0015720029634269017,0.0,0.0015862473939024463,0.006978648425253178,0.0,0.007177332051490902,0.0005543079002523582,0.0005543079002523582
177,tBodyGyroJerk,energy(),Y,tBodyGyroJerk-energy()-Y,0.0004782409819601911,0.0,0.000763850507609499,0.0007274403680152899,0.0,0.0002573021904285166,0.000257622309890305,0.000257622309890305
178,tBodyGyroJerk,energy(),Z,tBodyGyroJerk-energy()-Z,0.0002647483093937077,0.0,0.0005597078468683191,0.0009762007643326145,0.001920775931110706,0.006237372981338075,0.003471052607648505,0.003471052607648505
179,tBodyGyroJerk,iqr(),X,tBodyGyroJerk-iqr()-X,0.0028402424681002233,0.029852780004068567,0.00487315794403373,0.0075560743275924205,0.001986623940810022,0.015497395224680506,0.0036035592671337002,0.0036035592671337002
180,tBodyGyroJerk,iqr(),Y,tBodyGyroJerk-iqr()-Y,0.002224716859283084,9.88155902538258e-06,0.0002498062109936404,0.0004325335711263444,0.0002862422361302536,0.0005378636711741657,0.0007158526934535432,0.0007158526934535432
181,tBodyGyroJerk,iqr(),Z,tBodyGyroJerk-iqr()-Z,0.0022960728013300103,0.010029282122906692,0.0008427816698204188,0.0005363961366140812,0.001929844622581133,0.006260678078036164,0.00026302886590104835,0.00026302886590104835
182,tBodyGyroJerk,entropy(),X,tBodyGyroJerk-entropy()-X,0.0005856881879060528,0.0,0.0021831792486931897,0.005020518242011263,4.324784835019668e-05,0.0001540403645287257,0.0005466478191829835,0.0005466478191829835
183,tBodyGyroJerk,entropy(),Y,tBodyGyroJerk-entropy()-Y,0.00021745766494006444,0.0,9.933394938850347e-05,0.0010331800644450264,0.00045984294874403084,0.0001945810531427908,9.394333624560958e-05,9.394333624560958e-05
184,tBodyGyroJerk,entropy(),Z,tBodyGyroJerk-entropy()-Z,0.002304288637571866,0.01995097588193831,0.0002960914029644697,0.0007334099284814721,0.0020077680622472955,0.00017398959637710023,0.0017760159775871052,0.0017760159775871052
185,tBodyGyroJerk,arCoeff(),"X,1","tBodyGyroJerk-arCoeff()-X,1",0.0006170841893148844,0.0,0.004274368311392775,0.0017945140909635853,0.0,0.00022590291689875334,0.0004240685895940214,0.0004240685895940214
186,tBodyGyroJerk,arCoeff(),"X,2","tBodyGyroJerk-arCoeff()-X,2",0.0005538988144889036,0.0,0.0009081094603164225,0.0005345024971222478,7.17536158069065e-05,0.0001453464543629355,0.00011610691393783693,0.00011610691393783693
187,tBodyGyroJerk,arCoeff(),"X,3","tBodyGyroJerk-arCoeff()-X,3",0.0006018886428942469,0.0,0.002626922318220291,0.0013959209412731297,0.00014789638278599028,0.00013765707150518983,0.00031876283738311635,0.00031876283738311635
188,tBodyGyroJerk,arCoeff(),"X,4","tBodyGyroJerk-arCoeff()-X,4",0.0002646787777448275,0.0,0.0002933457632229118,0.00042247179096089227,3.3519289784232937e-07,0.00013463222845686487,0.00019342811775282674,0.00019342811775282674
189,tBodyGyroJerk,arCoeff(),"Y,1","tBodyGyroJerk-arCoeff()-Y,1",0.00040315592513619013,0.0,0.0005273723238462348,0.0005907993150207348,0.00018322899088467476,7.482073941288891e-05,0.00022708031235946037,0.00022708031235946037
190,tBodyGyroJerk,arCoeff(),"Y,2","tBodyGyroJerk-arCoeff()-Y,2",0.00018805989437715363,0.0,0.0005481707239477321,0.0002976794343652924,3.439019794490312e-05,0.000173944542728981,0.0001816767079912675,0.0001816767079912675
191,tBodyGyroJerk,arCoeff(),"Y,3","tBodyGyroJerk-arCoeff()-Y,3",0.0002799166222721737,0.0,0.00032308857979779427,0.0003578428873510283,0.0,0.0001743307211688934,0.00017511232985950326,0.00017511232985950326
192,tBodyGyroJerk,arCoeff(),"Y,4","tBodyGyroJerk-arCoeff()-Y,4",0.00022861320422196422,0.0,0.0006555520804380487,0.0002980295722711952,0.0,0.00020843529614906795,0.00019729215641175703,0.00019729215641175703
193,tBodyGyroJerk,arCoeff(),"Z,1","tBodyGyroJerk-arCoeff()-Z,1",0.00024772004171308675,0.0,0.0004678775896637369,0.00021958665936650684,1.510023858779901e-05,0.0005058378338481852,0.0004889564655123925,0.0004889564655123925
194,tBodyGyroJerk,arCoeff(),"Z,2","tBodyGyroJerk-arCoeff()-Z,2",0.00016867036038141034,0.0,0.0005641210738675192,0.00056854449531215,1.0514461407826602e-05,0.0002503134309127814,0.00022275748748496846,0.00022275748748496846
195,tBodyGyroJerk,arCoeff(),"Z,3","tBodyGyroJerk-arCoeff()-Z,3",0.00018377532331953633,0.0,0.00024504437798584166,0.0004532165953690839,4.663815046715031e-05,0.0005816975259459311,0.00020457512601039805,0.00020457512601039805
196,tBodyGyroJerk,arCoeff(),"Z,4","tBodyGyroJerk-arCoeff()-Z,4",0.000369572806718176,0.0,0.0006800772436061249,0.0004410745353608699,5.56537348366461e-05,0.0001952486784321196,0.00045745585608918094,0.00045745585608918094
197,tBodyGyroJerk,correlation(),"X,Y","tBodyGyroJerk-correlation()-X,Y",0.0007383469313191398,0.0,0.0019301620279745396,0.0009273972133233456,3.905154553026432e-05,0.0003681655146777453,0.000575023083548609,0.000575023083548609
198,tBodyGyroJerk,correlation(),"X,Z","tBodyGyroJerk-correlation()-X,Z",0.0006731347325083148,0.0,0.0008929495609418089,0.0005333971893367481,9.132599210692648e-05,0.0013836931676237338,0.0002556019559764878,0.0002556019559764878
199,tBodyGyroJerk,correlation(),"Y,Z","tBodyGyroJerk-correlation()-Y,Z",0.0005639661137288843,0.0,0.0007107913202793589,0.0015818027759331179,0.00020255773853670414,0.0007017292610644527,0.00028470311379538997,0.00028470311379538997
200,tBodyAccMag,mean(),,tBodyAccMag-mean(),0.00045861715664339067,0.0,0.0023522745963371807,0.000238183384805686,1.5008392972309718e-05,0.003233959398564325,0.0025360617406812104,0.0025360617406812104
201,tBodyAccMag,std(),,tBodyAccMag-std(),0.008631557453140974,0.0,0.00035143117832690167,0.0002499361210687469,0.0,0.013385198250828992,0.0034338311007557935,0.0034338311007557935
202,tBodyAccMag,mad(),,tBodyAccMag-mad(),0.0058120980652365505,0.0,0.0023037751758549787,0.00017555445571112278,0.0,0.018168017789325,0.0008866948289926101,0.0008866948289926101
203,tBodyAccMag,max(),,tBodyAccMag-max(),0.002257516541464248,0.0,0.0007626253066153468,0.0001676226852386571,4.70731394902011e-05,0.002891662220727204,0.0012554980024249561,0.0012554980024249561
204,tBodyAccMag,min(),,tBodyAccMag-min(),0.0002291784433714752,2.9413736714128695e-05,0.00014997757822764204,0.00031828891427224744,5.427564980748768e-05,0.00010644737912297621,0.0001399151225923126,0.0001399151225923126
205,tBodyAccMag,sma(),,tBodyAccMag-sma(),0.0006157608818999365,0.009795830246866921,0.0042474881679653576,0.0001328717154129737,1.5227840659610932e-05,0.007085321131322195,0.005129578493220604,0.005129578493220604
206,tBodyAccMag,energy(),,tBodyAccMag-energy(),0.003121931976300529,7.362396873974463e-06,0.008264420882479232,0.00028284283627713137,0.00017068660997351178,0.00769218543318372,0.0012481341492781043,0.0012481341492781043
207,tBodyAccMag,iqr(),,tBodyAccMag-iqr(),0.001503360128909135,0.0,0.0006483616874898465,0.00027597597029436067,0.00025768312617995205,0.00465723027487684,0.0001335499723619525,0.0001335499723619525
208,tBodyAccMag,entropy(),,tBodyAccMag-entropy(),0.00014850488192499236,0.0,0.0002406786774828221,0.00030216045717313626,0.0,0.00024277337004775218,0.0006566840012347148,0.0006566840012347148
209,tBodyAccMag,arCoeff()1,,tBodyAccMag-arCoeff()1,0.004543992103731936,6.556455767339485e-06,0.00020386738084983002,0.0002808137498685201,0.00020163166372732543,0.011013180441567806,0.0017242046357346225,0.0017242046357346225
210,tBodyAccMag,arCoeff()2,,tBodyAccMag-arCoeff()2,0.0007626003512584917,9.766352590005188e-06,9.483273861647961e-05,0.00031150350889431474,0.0,0.005458469923696964,0.0006783293761674961,0.0006783293761674961
211,tBodyAccMag,arCoeff()3,,tBodyAccMag-arCoeff()3,0.0002450065666010216,0.0,0.0002329758669242261,0.0001945287735711684,1.5429599640125952e-05,0.0001936878185612424,0.0001434777869267643,0.0001434777869267643
212,tBodyAccMag,arCoeff()4,,tBodyAccMag-arCoeff()4,0.00027515962967586123,0.0,0.00015651500582282007,0.0003749256714044149,2.992105933282373e-06,7.302983647670868e-05,0.0005520442044481335,0.0005520442044481335
213,tGravityAccMag,mean(),,tGravityAccMag-mean(),0.00028463750690629517,0.0,0.0022620016977538044,0.0001921500696438229,0.0,0.005030038997846518,0.0031283818983747704,0.0031283818983747704
214,tGravityAccMag,std(),,tGravityAccMag-std(),0.010861881163551468,0.0,0.000229550900184314,0.00015070294702611024,1.903790583035866e-05,0.01587671827489255,0.003326923347705629,0.003326923347705629
215,tGravityAccMag,mad(),,tGravityAccMag-mad(),0.002626981521420836,0.0,0.002097813665661103,3.598828783278916e-05,0.0,0.015521881425611417,0.0026915659300599548,0.0026915659300599548
216,tGravityAccMag,max(),,tGravityAccMag-max(),0.006213984144932158,0.0,0.004359963257919072,0.0005515739716562993,1.9101723810832243e-05,0.003815337807272916,0.0006104872892687366,0.0006104872892687366
217,tGravityAccMag,min(),,tGravityAccMag-min(),0.00020611847270072877,0.0,0.0005348687322158654,0.00047571712805226786,9.331393340496105e-05,0.00016976598613537317,0.00022678280401887434,0.00022678280401887434
218,tGravityAccMag,sma(),,tGravityAccMag-sma(),0.0010566047626567388,0.0,0.001986691688594945,0.0001905000417857972,0.00015983029634285658,0.0039009074916690795,0.0005216763050469817,0.0005216763050469817
219,tGravityAccMag,energy(),,tGravityAccMag-energy(),0.002397974347749478,1.6942771084337346e-05,0.002259876098814986,0.0002723387199082719,0.00020757503984420442,0.00692586164530614,0.0008925924622927727,0.0008925924622927727
220,tGravityAccMag,iqr(),,tGravityAccMag-iqr(),0.0008057557980716918,0.0,0.00015126363893568388,0.000833701754009895,0.0,0.0017406174246188798,0.00040402338683497013,0.00040402338683497013
221,tGravityAccMag,entropy(),,tGravityAccMag-entropy(),0.0008404931181061827,0.0,0.00023263811292213203,0.0003335703419260396,0.000188665007304433,0.0005416215181704632,0.0008029226543060743,0.0008029226543060743
222,tGravityAccMag,arCoeff()1,,tGravityAccMag-arCoeff()1,0.006109308066026713,0.0,0.00026244751669574247,0.00021583996391621513,8.320909037364117e-05,0.01783916132936077,0.001430126548725971,0.001430126548725971
223,tGravityAccMag,arCoeff()2,,tGravityAccMag-arCoeff()2,0.0013951730574307023,0.0,0.0002206349931444827,0.00026505448452096217,4.565954145154465e-05,0.003412711468147645,0.00019433830718134217,0.00019433830718134217
224,tGravityAccMag,arCoeff()3,,tGravityAccMag-arCoeff()3,0.00028780809381197345,0.0,0.0005148853727972355,0.0005094603117982274,0.0,0.00026870273931436765,0.0003471039767788987,0.0003471039767788987
225,tGravityAccMag,arCoeff()4,,tGravityAccMag-arCoeff()4,0.00023491424915540653,0.0,0.0003499962394429314,0.00047968374842203133,0.0,0.00012595918701085808,0.00013618793683601872,0.00013618793683601872
226,tBodyAccJerkMag,mean(),,tBodyAccJerkMag-mean(),0.002624075495622425,0.019931317264621863,0.002446342934970919,0.0003289656071058108,0.00025936293985405614,0.0005885541297643925,0.0015832240178399143,0.0015832240178399143
227,tBodyAccJerkMag,std(),,tBodyAccJerkMag-std(),0.0005782478590499931,0.0,0.0003399236694073555,0.0005104650700257727,0.0,0.0006756967079204162,0.0037792097260782352,0.0037792097260782352
228,tBodyAccJerkMag,mad(),,tBodyAccJerkMag-mad(),0.001166673251080648,0.01986276422229714,0.00029980163838976703,0.00011687007391120357,7.533460134316455e-05,0.003484258664419259,0.009407617379784619,0.009407617379784619
229,tBodyAccJerkMag,max(),,tBodyAccJerkMag-max(),0.00011097117378176099,0.0,0.00038006754829332203,0.0004685838243633661,5.0827964047107544e-05,0.0005552629426324386,0.00010350179879196149,0.00010350179879196149
230,tBodyAccJerkMag,min(),,tBodyAccJerkMag-min(),0.000259414470456241,0.0,0.00023292762256212952,0.0005456932540739264,0.00015171174580658528,0.00021921399727041355,0.0009269949484739262,0.0009269949484739262
231,tBodyAccJerkMag,sma(),,tBodyAccJerkMag-sma(),0.006411496289868546,0.009980277650999235,0.0003220640566102189,0.0005214817715044768,1.8852462457866125e-05,0.0004951991087590318,0.004865717308340776,0.004865717308340776
232,tBodyAccJerkMag,energy(),,tBodyAccJerkMag-energy(),0.004267185515921637,0.009950874308409087,0.00017490922859175065,0.0007375860309946067,0.0,0.0007669540830925947,0.000595479860540387,0.000595479860540387
233,tBodyAccJerkMag,iqr(),,tBodyAccJerkMag-iqr(),0.005517877301520643,0.00996063683970056,0.00026975952938565766,0.0009147942012633493,3.113047433562004e-05,0.001185495903714836,0.008964301218034633,0.008964301218034633
234,tBodyAccJerkMag,entropy(),,tBodyAccJerkMag-entropy(),0.000340749034316569,0.009989917465157656,0.001448647609575922,0.00031727612529312057,0.0018617920855264198,0.00027339015040287715,0.004704015357236756,0.004704015357236756
235,tBodyAccJerkMag,arCoeff()1,,tBodyAccJerkMag-arCoeff()1,0.0003873227858963474,2.9363295880149896e-05,0.00032485978589531534,0.0003405790547448315,0.00019052994903006327,3.99391347030445e-05,0.0002403283243343085,0.0002403283243343085
236,tBodyAccJerkMag,arCoeff()2,,tBodyAccJerkMag-arCoeff()2,0.00029621664049661573,0.0,0.0003069876308093674,0.0003748363325641208,3.9964733073288825e-05,0.0012388646214321452,0.00041727693389986245,0.00041727693389986245
237,tBodyAccJerkMag,arCoeff()3,,tBodyAccJerkMag-arCoeff()3,0.00012502800275525605,0.0,0.00025904700211553674,0.0002585192954296975,0.0,0.00012968389735864454,0.0002555850751254642,0.0002555850751254642
238,tBodyAccJerkMag,arCoeff()4,,tBodyAccJerkMag-arCoeff()4,0.00043225607310255917,0.0,0.000491030926863578,0.0002514140245363776,1.5706519830286406e-05,0.0002466142455226797,0.0003479650408992205,0.0003479650408992205
